Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"1000 NW Olympic College Way, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.7774056426997, -122.65904131849484",2
"21200 Olhava Way NW, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.76263764284079, -122.6617879004727",8
"19133 Jensen Way NE, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.746480341201085, -122.64805499058342",4
"15347 Suquamish Way NE #15347, Suquamish, WA 98392",Suquamish,WA,98392,"47.72523740012811, -122.56565753211538",12
"21711 Vetter Rd NW, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.76204317882462, -122.65028819485335",2
"20148 10th Ave NE, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.749470690333816, -122.63663021778048",2
"20150 7th Ave NE, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.747351432455844, -122.63915169047085",4
"27618 Hansville Rd NE, Kingston, WA 98346",Kingston,WA,98346,"47.81413667313147, -122.53229698009774",4
"7989 NE Salish Ln, Kingston, WA 98346",Kingston,WA,98346,"47.847622007578664, -122.54169084800627",4
"10315 Silverdale Way NW, Silverdale, WA 98383",Silverdale,WA,98383,"47.65790422645345, -122.69197117701447",2
"3909 NW Randall Way, Silverdale, WA 98383",Silverdale,WA,98383,"47.653993242440606, -122.69413532722926",2
"1800 NW Myhre Rd, Silverdale, WA 98383",Silverdale,WA,98383,"47.658664216002734, -122.67410378422446",13
"3201 NW Randall Way, Silverdale, WA 98383",Silverdale,WA,98383,"47.65965044354965, -122.69361143825756",12
"5455 NW Newberry Hill Rd #201, Silverdale, WA 98383",Silverdale,WA,98383,"47.63802469713729, -122.72253224062985",12
"1231 NE McWilliams Rd, Bremerton, WA 98311",Bremerton,WA,98311,"47.62703512687387, -122.63656139650091",4
"1401 NE McWilliams Rd, Bremerton, WA 98311",Bremerton,WA,98311,"47.62703512687387, -122.63003826430351",2
"3333 Wheaton Wy, Bremerton, WA 98310",Bremerton,WA,98310,"47.59700608304655, -122.63050938033987",1
"3915 Wheaton Wy, Bremerton, WA 98310",Bremerton,WA,98310,"47.60257177047928, -122.6300514225135",2
"60 Washington Ave, Bremerton, WA 98337",Bremerton,WA,98337,"47.56585081682277, -122.6210877561425",4
"3929 Kitsap Way, Bremerton, WA 98312",Bremerton,WA,98312,"47.56979258405453, -122.66162427627907",2
"200 Charleston Blvd, Bremerton, WA 98312",Bremerton,WA,98312,"47.56295488631913, -122.65258172726935",2
"4520 Bay Vista Blvd, Bremerton, WA 98312",Bremerton,WA,98312,"47.56747838625114, -122.67690306622156",4
"901 W Hills Blvd, Bremerton, WA 98312",Bremerton,WA,98312,"47.55647880720105, -122.67694241943254",2
"520 W Hills Blvd, Bremerton, WA 98312",Bremerton,WA,98312,"47.5574924667775, -122.67578370516065",2
"1100 Oyster Bay Ave S, Bremerton, WA 98312",Bremerton,WA,98312,"47.55503068807452, -122.67166383219386",6
"1416 NW Ballard Way, Seattle, WA 98107",Seattle,WA,98107,"47.66353311667148, -122.37122485995653",8
"1451 NW 46th St, Seattle, WA 98107",Seattle,WA,98107,"47.66254567181732, -122.37536461209429",4
"915 NW 45th St, Seattle, WA 98107",Seattle,WA,98107,"47.66033837460466, -122.36958620806867",6
"1600 W Armory Way, Seattle, WA 98119",Seattle,WA,98119,"47.65177864097349, -122.37229649056005",8
